3s+PAST+kujifunza	(s)he learned	alijifunza
2s+PRES+kumaanisha	you mean	unamaanisha
NEG+2s+PERF+kuchanganya	you have not mixed	hujachanganya
2s+IMP+kujenga	build	jenga
1s+PRES+kufikia	I arrive at	ninafikia
NEG+1s+PERF+kufanana	I have not resembled	sijafanana
2p+IMP+kufariki	die	farikini
NEG+2p+PRES+kusomea	ye do not studies	hamsomei
1s+PERF+kubisha	I have disagreed	nimebisha
NEG+2p+PERF+kusimama	ye have not stopped	hamjasimama
NEG+1p+PRES+kutegemea	we do not plan	hatutegemei
3s+PERF+kukodisha	(s)he has rented	amekodisha
NEG+2s+PAST+kufa	you did not die	hukufa
2s+PRES+kutarajia	you expect	unatarajia
1p+PERF+kufunza	we have taught	tumefunza
NEG+3p+PERF+kuanza	they have not started	hawajaanza
2s+IMP+kuingia	enter	ingia
NEG+1p+PRES+kujaribu	we do not try	hatujaribu
2p+PAST+kugawana	ye shared	mligawana
NEG+1s+FUT+kuwasha	I will not turn on	sitawasha
2s+FUT+kupa	you will give	utakupa
NEG+1s+PERF+kufunga	I have not closed	sijafunga
NEG+3s+PERF+kuimba	(s)he has not sung	hajaimba
NEG+1p+FUT+kuchoka	we will not tire	hatutachoka
NEG+2s+PAST+kutaka	you did not want	hukutaka
NEG+3s+PERF+kunywa	(s)he has not drunk	hajanywa
2s+PRES+kusoma	you read	unasoma
NEG+2p+PERF+kubeba	ye have not carried	hamjabeba
1s+FUT+kupa	I will give	nitakupa
2p+PAST+kunywa	ye drank	mlikunywa
1s+PERF+kuandika	I have written	nimeandika
3s+PAST+kusema	(s)he said	alisema
NEG+2s+FUT+kurekebisha	you will not repair	hutarekebisha
NEG+2s+FUT+kupeleka	you will not take	hutapeleka
1s+PERF+kuzungumza	I have conversed	nimezungumza
2p+PERF+kuanguka	ye have fallen	mmeanguka
3s+PAST+kuisha	(s)he ended	aliisha
3p+FUT+kufanana	they will resemble	watafanana
NEG+2s+PERF+kuchukua	you have not taken	hujachukua
2s+FUT+kusikia	you will hear	utasikia
NEG+2s+PAST+kuchukua	you did not take	hukuchukua
3p+PERF+kutaka	they have wanted	wametaka
NEG+2p+PAST+kurudi	ye did not return	hamkurudi
2p+PAST+kukaanga	ye fried	mlikaanga
2s+PAST+kuripoti	you reported	uliripoti
3s+PAST+kubisha	(s)he disagreed	alibisha
1p+PAST+kufunza	we taught	tulifunza
NEG+1s+FUT+kujaribu	I will not try	sitajaribu
NEG+3p+FUT+kuvunja	they will not break	hawatavunja
NEG+3p+FUT+kukaa	they will not stay	hawatakaa
1s+PRES+kutegemea	I plan	ninategemea
2p+PRES+kufaa	ye are suitable	mnafaa
1s+FUT+kuiba	I will steal	nitaiba
NEG+1p+PERF+kutoka	we have not come from	hatujatoka
1s+PRES+kusali	I pray	ninasali
3s+PRES+kufunza	(s)he teaches	anafunza
3p+PRES+kufa	they die	wanakufa
2s+FUT+kukubali	you will agree	utakubali
NEG+2s+PAST+kuchemsha	you did not boil	hukuchemsha
2p+PRES+kutoa	ye subtract	mnatoa
2p+FUT+kuamka	ye will awaken	mtaamka
2p+FUT+kucheza	ye will play	mtacheza
2p+PERF+kupanga	ye have planned	mmepanga
2s+IMP+kurekebisha	repair	rekebisha
2p+PRES+kukaribia	ye approach	mnakaribia
NEG+2p+FUT+kustarehe	ye will not relax	hamtastarehe
NEG+3p+PERF+kufaa	they have not been suitable	hawajafaa
NEG+1p+FUT+kuamini	we will not believe	hatutaamini
NEG+2p+PRES+kutembelea	ye do not visit	hamtembelei
2p+IMP+kuwasha	turn on	washeni
2s+IMP+kupika	cook	pika
NEG+1s+PAST+kufikiri	I did not think	sikufikiri
2s+IMP+kueleza	explain	eleza
NEG+2p+PAST+kushiriki	ye did not share	hamkushiriki
NEG+3p+PERF+kuisha	they have not ended	hawajaisha
NEG+3s+PAST+kupumzika	(s)he did not rest	hakupumzika
1p+PRES+kushiriki	we share	tunashiriki
NEG+1p+PAST+kukonda	we did not lose weight	hatukukonda
1s+PAST+kujua	I knew	nilijua
3s+FUT+kuuma	(s)he will bite	atauma
NEG+3p+PAST+kuongeza	they did not add	hawakuongeza
NEG+1p+PRES+kupitia	we do not visit	hatupitii
3s+PAST+kukumbuka	(s)he remembered	alikumbuka
NEG+1p+PAST+kugombana	we did not argue	hatukugombana
NEG+3s+FUT+kujaribu	(s)he will not try	hatajaribu
NEG+3p+PAST+kuwaza	they did not think	hawakuwaza
2s+IMP+kupumzika	rest	pumzika
NEG+3p+PERF+kuruhusu	they have not allowed	hawajaruhusu
NEG+1s+PAST+kufanyika	I did not happen	sikufanyika
NEG+1p+PERF+kukata	we have not cut	hatujakata
1s+PRES+kubadilishana	I exchange	ninabadilishana
1s+PRES+kurekebisha	I repair	ninarekebisha
NEG+1s+PRES+kuanda	I do not prepare	siandi
3p+PAST+kulia	they cried	walilia
1p+PERF+kutoka	we have come from	tumetoka
2s+IMP+kushiriki	share	shiriki
1s+FUT+kubisha	I will disagree	nitabisha
NEG+1s+PAST+kuwasiliana	I did not communicate	sikuwasiliana
2p+IMP+kupeleka	take	pelekeni
2p+PAST+kusumbuka	ye worried	mlisumbuka
2s+PERF+kuitwa	you have been named	umeitwa
NEG+1s+PRES+kustarehe	I do not relax	sistarehe
2p+IMP+kuagiza	order	agizeni
2p+PERF+kuamini	ye have believed	mmeamini
NEG+3p+PAST+kuomba	they did not request	hawakuomba
3p+PRES+kusubiri	they wait	wanasubiri
NEG+2p+FUT+kutosha	ye will not suffice	hamtatosha
2s+FUT+kukumbusha	you will remind	utakumbusha
NEG+1s+PRES+kufariki	I do not die	sifariki
NEG+1s+PAST+kuvaa	I did not wear	sikuvaa
NEG+1p+PERF+kuchagua	we have not chosen	hatujachagua
1s+FUT+kuanza	I will start	nitaanza
NEG+2p+PAST+kutoka	ye did not come from	hamkutoka
NEG+3p+PERF+kutengeneza	they have not made	hawajatengeneza
3p+PAST+kusema	they said	walisema
NEG+3s+FUT+kufaa	(s)he will not be suitable	hatafaa
NEG+2s+PRES+kukasirika	you are not angry	hukasiriki
1s+PERF+kulia	I have cried	nimelia
1p+FUT+kuchukia	we will hate	tutachukia
NEG+2s+PAST+kuweza	you were not able	hukuweza
2s+PERF+kujibu	you have answered	umejibu
1s+FUT+kujali	I will care	nitajali
2s+PAST+kutuma	you sent	ulituma
2s+PRES+kuzima	you turn off	unazima
NEG+2s+FUT+kumaanisha	you will not mean	hutamaanisha
1p+FUT+kusubiri	we will wait	tutasubiri
NEG+3p+FUT+kuzaliwa	they will not be born	hawatazaliwa
NEG+1s+FUT+kuonja	I will not taste	sitaonja
3p+PRES+kuendelea	they continue	wanaendelea
1p+PRES+kukodisha	we rent	tunakodisha
NEG+2p+FUT+kuanguka	ye will not fall	hamtaanguka
NEG+1p+PAST+kuuma	we did not bite	hatukuuma
2s+PERF+kujenga	you have built	umejenga
3p+PRES+kuondoka	they depart	wanaondoka
NEG+2p+FUT+kutarajia	ye will not expect	hamtatarajia
NEG+1s+PERF+kushiriki	I have not shared	sijashiriki
2s+PERF+kuishi	you have lived	umeishi
NEG+1p+PERF+kutamani	we have not wished	hatujatamani
2p+PAST+kulipa	ye paid	mlilipa
1p+PAST+kusumbuka	we worried	tulisumbuka
2p+PRES+kukumbuka	ye remember	mnakumbuka
3p+FUT+kuhitaji	they will need	watahitaji
NEG+3p+FUT+kuruka	they will not jump	hawataruka
3s+PRES+kukata	(s)he cuts	anakata
NEG+2p+PRES+kujaribu	ye do not try	hamjaribu
1p+FUT+kuishi	we will live	tutaishi
1s+FUT+kugusa	I will touch	nitagusa
2s+IMP+kupunguza	reduce	punguza
NEG+1s+PERF+kujitahidi	I have not improved	sijajitahidi
NEG+2p+PAST+kukodisha	ye did not rent	hamkukodisha
1p+PRES+kupitia	we visit	tunapitia
NEG+1s+PRES+kuishi	I do not live	siishi
NEG+3p+PERF+kutoa	they have not subtracted	hawajatoa
3s+FUT+kubadilishana	(s)he will exchange	atabadilishana
3p+PRES+kuonekana	they resemble	wanaonekana
NEG+1s+PAST+kukaanga	I did not fry	sikukaanga
1s+FUT+kufanyika	I will happen	nitafanyika
NEG+1p+PAST+kutembea	we did not walk	hatukutembea
3p+PERF+kunywa	they have drunk	wamekunywa
3p+PERF+kutarajia	they have expected	wametarajia
2s+PERF+kugawana	you have shared	umegawana
1s+PERF+kuripoti	I have reported	nimeripoti
1p+FUT+kupokea	we will receive	tutapokea
NEG+3p+FUT+kufikia	they will not arrive at	hawatafikia
NEG+3p+FUT+kuja	they will not come	hawatakuja
3p+PRES+kufikia	they arrive at	wanafikia
1s+PERF+kuhakikisha	I have confirmed	nimehakikisha
NEG+1p+PERF+kupendeza	we have not looked great	hatujapendeza
2s+PAST+kufanyika	you happened	ulifanyika
3s+PRES+kuogopa	(s)he fears	anaogopa
1s+PAST+kusumbuka	I worried	nilisumbuka
NEG+1p+FUT+kwisha	we will not finish	hatutaisha
3s+PAST+kusali	(s)he prayed	alisali
NEG+1s+PRES+kupeleka	I do not take	sipeleki
NEG+3p+PERF+kufariki	they have not died	hawajafariki
2s+IMP+kusema	say	sema
1s+PRES+kuchanganya	I mix	ninachanganya
NEG+3s+FUT+kukosea	(s)he will not be wrong	hatakosea
1p+PAST+kufurahi	we were happy	tulifurahi
NEG+2p+FUT+kusifia	ye will not recommend	hamtasifia
NEG+2s+PRES+kuelewa	you do not understand	huelewi
NEG+2s+FUT+kukaa	you will not stay	hutakaa
2s+IMP+kuitwa	be named	itwa
NEG+2s+FUT+kusali	you will not pray	hutasali
3p+PAST+kustahili	they were required	walistahili
NEG+2p+PERF+kukisi	ye have not kissed	hamjakisi
NEG+1p+PERF+kuambia	we have not told	hatujaambia
2p+PERF+kurudi	ye have returned	mmerudi
1s+PAST+kusaidia	I helped	nilisaidia
1s+FUT+kufikiri	I will think	nitafikiri
1p+FUT+kumaanisha	we will mean	tutamaanisha
3s+PERF+kulia	(s)he has cried	amelia
NEG+2s+PRES+kupa	you do not give	hupi
NEG+3p+PAST+kugusa	they did not touch	hawakugusa
2s+FUT+kuonja	you will taste	utaonja
2p+PAST+kuweza	ye were able	mliweza
2s+PAST+kutembea	you walked	ulitembea
NEG+1p+PRES+kupata	we do not get	hatupati
1p+PRES+kubisha	we disagree	tunabisha
NEG+1s+PAST+kurekebisha	I did not repair	sikurekebisha
2s+PRES+kuhisi	you feel	unahisi
1p+FUT+kuvunja	we will break	tutavunja
NEG+3s+FUT+kuzoea	(s)he will not be used to	hatazoea
NEG+3s+PERF+kufunza	(s)he has not taught	hajafunza
1s+PERF+kujibu	I have answered	nimejibu
1p+PAST+kunywa	we drank	tulikunywa
NEG+1s+PERF+kusomea	I have not studied	sijasomea
NEG+1p+PAST+kurekebisha	we did not repair	hatukurekebisha
NEG+3s+FUT+kupanga	(s)he will not plan	hatapanga
NEG+2p+PERF+kutegemea	ye have not planned	hamjategemea
NEG+1s+FUT+kukosea	I will not be wrong	sitakosea
NEG+2p+PAST+kuogelea	ye did not swim	hamkuogelea
1p+PRES+kuchukia	we hate	tunachukia
2p+IMP+kuchukia	hate	chukieni
NEG+3p+PRES+kuchanganya	they do not mix	hawachanganyi
3s+PAST+kuwasiliana	(s)he communicated	aliwasiliana
1s+PRES+kufika	I arrive	ninafika
NEG+2p+FUT+kuelekea	ye will not go	hamtaelekea
NEG+2s+FUT+kununua	you will not buy	hutanunua
NEG+3p+PRES+kuomba	they do not request	hawaombi
1s+FUT+kuweka	I will put	nitaweka
3s+PERF+kutamani	(s)he has wished	ametamani
2s+IMP+kuendesha	drive	endesha
2p+PAST+kushiba	ye were full	mlishiba
3p+PAST+kupeleka	they took	walipeleka
NEG+3p+PERF+kuchagua	they have not chosen	hawajachagua
NEG+2s+PERF+kupata	you have not got	hujapata
1p+PERF+kuleta	we have brought	tumeleta
1p+PERF+kupata	we have got	tumepata
1s+PERF+kutoka	I have come from	nimetoka
NEG+3p+FUT+kuishi	they will not live	hawataishi
1p+PAST+kuona	we saw	tuliona
2s+PRES+kupika	you cook	unapika
2s+IMP+kuona	see	ona
3p+FUT+kusifia	they will recommend	watasifia
2s+FUT+kujaribu	you will try	utajaribu
1p+PAST+kutoa	we subtracted	tulitoa
3p+PRES+kuona	they see	wanaona
3p+FUT+kubeba	they will carry	watabeba
1p+PAST+kuisha	we ended	tuliisha
NEG+1s+FUT+kutegemea	I will not plan	sitategemea
NEG+3s+PERF+kupenda	(s)he has not loved	hajapenda
NEG+1s+PERF+kukodishwa	I have not rented	sijakodishwa
2p+PERF+kuendesha	ye have driven	mmeendesha
1p+PRES+kufariki	we die	tunafariki
2p+IMP+kusema	say	semeni
NEG+1s+PERF+kupendeza	I have not looked great	sijapendeza
2s+PERF+kukodisha	you have rented	umekodisha
2s+FUT+kufanana	you will resemble	utafanana
2p+PAST+kuvuka	ye crossed	mlivuka
2s+PRES+kupokea	you receive	unapokea
3p+PERF+kuweka	they have put	wameweka
2p+FUT+kununua	ye will buy	mtanunua
1s+PERF+kumaanisha	I have meant	nimemaanisha
NEG+1p+PRES+kusikiliza	we do not listen	hatusikilizi
3p+PRES+kutembelea	they visit	wanatembelea
2p+PRES+kuruhusu	ye allow	mnaruhusu
NEG+3s+PERF+kula	(s)he has not eaten	hajala
NEG+3s+PRES+kunywa	(s)he does not drink	hanywi
NEG+1p+PAST+kuelekea	we did not go	hatukuelekea
NEG+1p+PERF+kutumia	we have not used	hatujatumia
1p+PAST+kuangalia	we looked	tuliangalia
2p+PRES+kusafisha	ye clean	mnasafisha
NEG+3s+PERF+kufariki	(s)he has not died	hajafariki
3p+PRES+kuwasha	they turn on	wanawasha
NEG+1p+PRES+kustarehe	we do not relax	hatustarehe
2p+PERF+kubadilishana	ye have exchanged	mmebadilishana
2s+PERF+kuogelea	you have swum	umeogelea
1s+FUT+kuondoka	I will depart	nitaondoka
NEG+2s+PAST+kuosha	you did not wash	hukuosha
2p+PERF+kuishi	ye have lived	mmeishi
NEG+3s+PRES+kufurahi	(s)he is not happy	hafurahi
NEG+3p+PAST+kuamini	they did not believe	hawakuamini
NEG+1p+PRES+kujitahidi	we do not improve	hatujitahidi
NEG+1s+PERF+kwisha	I have not finished	sijaisha
NEG+2s+FUT+kulia	you will not cry	hutalia
NEG+2p+FUT+kuiba	ye will not steal	hamtaiba
2s+IMP+kutarajia	expect	tarajia
NEG+1s+FUT+kumaanisha	I will not mean	sitamaanisha
NEG+1s+PRES+kukimbia	I do not run	sikimbii
2s+FUT+kutoka	you will come from	utatoka
NEG+2p+PERF+kufunga	ye have not closed	hamjafunga
NEG+2s+FUT+kuchoka	you will not tire	hutachoka
1p+PRES+kupeleka	we take	tunapeleka
1p+PERF+kuelekea	we have gone	tumeelekea
3p+PERF+kuzoea	they have been used to	wamezoea
2p+FUT+kukaa	ye will stay	mtakaa
NEG+3s+PAST+kunenepa	(s)he did not put on weight	hakunenepa
3p+PAST+kujua	they knew	walijua
3s+PAST+kuruka	(s)he jumped	aliruka
NEG+2p+PERF+kusumbuka	ye have not worried	hamjasumbuka
NEG+3s+PRES+kukonda	(s)he does not lose weight	hakondi
NEG+3p+PRES+kuweza	they are not able	hawawezi
2s+IMP+kuonja	taste	onja
NEG+1s+PAST+kustahili	I was not required	sikustahili
1s+PRES+kubisha	I disagree	ninabisha
NEG+3p+FUT+kutengeneza	they will not make	hawatatengeneza
NEG+3s+FUT+kusikiliza	(s)he will not listen	hatasikiliza
2p+FUT+kupumzika	ye will rest	mtapumzika
NEG+1s+PERF+kuzaliwa	I have not been born	sijazaliwa
2s+PRES+kuagiza	you order	unaagiza
NEG+3s+PRES+kufunga	(s)he does not close	hafungi
3s+PERF+kupeleka	(s)he has taken	amepeleka
3p+PRES+kuripoti	they report	wanaripoti
NEG+3s+PERF+kupumzika	(s)he has not rested	hajapumzika
NEG+1s+PAST+kuchemsha	I did not boil	sikuchemsha
NEG+3s+PAST+kucheza	(s)he did not play	hakucheza
NEG+3s+PRES+kukubali	(s)he does not agree	hakubali
3p+PERF+kucheka	they have laughed	wamecheka
3p+PERF+kutambua	they have realized	wametambua
2s+PERF+kuamka	you have awakened	umeamka
1p+PERF+kukasirika	we have been angry	tumekasirika
NEG+2s+FUT+kuamini	you will not believe	hutaamini
2p+PRES+kuruka	ye jump	mnaruka
2s+FUT+kukaanga	you will fry	utakaanga
1p+PERF+kutoa	we have subtracted	tumetoa
2p+PERF+kuvuka	ye have crossed	mmevuka
3s+PERF+kusimama	(s)he has stopped	amesimama
NEG+2s+PRES+kufa	you do not die	hufi
2p+IMP+kuja	come	njooni
3p+PAST+kuamini	they believed	waliamini
2s+PRES+kufanya	you do	unafanya
1s+PAST+kuona	I saw	niliona
3p+FUT+kunywa	they will drink	watakunywa
2s+IMP+kukata	cut	kata
1s+PERF+kuongeza	I have added	nimeongeza
3p+PRES+kuimba	they sing	wanaimba
3p+FUT+kupinda	they will turn	watapinda
2p+PAST+kukimbia	ye ran	mlikimbia
NEG+2p+PAST+kutarajia	ye did not expect	hamkutarajia
1p+PERF+kuonja	we have tasted	tumeonja
NEG+1s+PAST+kulia	I did not cry	sikulia
2s+PRES+kutamani	you wish	unatamani
2s+PRES+kuhitaji	you need	unahitaji
2s+PERF+kulala	you have slept	umelala
NEG+2s+FUT+kujenga	you will not build	hutajenga
NEG+2p+FUT+kuwaza	ye will not think	hamtawaza
1s+FUT+kugombana	I will argue	nitagombana
NEG+3p+PRES+kukubali	they do not agree	hawakubali
NEG+3p+PERF+kujitahidi	they have not improved	hawajajitahidi
3s+FUT+kuamini	(s)he will believe	ataamini
3s+FUT+kuvuka	(s)he will cross	atavuka
NEG+3p+PERF+kufanana	they have not resembled	hawajafanana
NEG+1s+PRES+kuuza	I do not sell	siuzi
1s+PRES+kufanyika	I happen	ninafanyika
3s+PERF+kuchukia	(s)he has hated	amechukia
NEG+2s+PAST+kupunguza	you did not reduce	hukupunguza
2p+PRES+kustarehe	ye relax	mnastarehe
1s+FUT+kuwasha	I will turn on	nitawasha
NEG+1s+PRES+kuwasha	I do not turn on	siwashi
NEG+1s+FUT+kuuliza	I will not ask	sitauliza
NEG+1s+PERF+kupata	I have not got	sijapata
NEG+2s+FUT+kulala	you will not sleep	hutalala
1s+FUT+kupumzika	I will rest	nitapumzika
1p+PERF+kusali	we have prayed	tumesali
2s+PERF+kutegemea	you have planned	umetegemea
2p+FUT+kukosea	ye will be wrong	mtakosea
1p+FUT+kuzungumza	we will converse	tutazungumza
3p+FUT+kuanda	they will prepare	wataanda
3s+PERF+kuongeza	(s)he has added	ameongeza
NEG+2s+FUT+kupokea	you will not receive	hutapokea
NEG+1s+PERF+kueleza	I have not explained	sijaeleza
NEG+2p+PERF+kufika	ye have not arrived	hamjafika
NEG+1p+PERF+kubisha	we have not disagreed	hatujabisha
NEG+1p+PAST+kukodisha	we did not rent	hatukukodisha
2p+PRES+kuondoka	ye depart	mnaondoka
2s+PERF+kupokea	you have received	umepokea
2p+FUT+kuanza	ye will start	mtaanza
NEG+2p+FUT+kuja	ye will not come	hamtakuja
NEG+3p+PERF+kupumzika	they have not rested	hawajapumzika
3p+PRES+kugawana	they share	wanagawana
1p+PERF+kufikiria	we have thought about	tumefikiria
NEG+3s+FUT+kupitia	(s)he will not visit	hatapitia
2p+IMP+kuitwa	be named	itweni
2p+FUT+kufurahi	ye will be happy	mtafurahi
2p+PAST+kupa	ye gave	mlikupa
NEG+2s+FUT+kukasirika	you will not be angry	hutakasirika
3s+PRES+kupitia	(s)he visits	anapitia
NEG+2s+PRES+kuleta	you do not bring	huleti
3p+PAST+kusimama	they stopped	walisimama
NEG+1s+FUT+kusomea	I will not study	sitasomea
2p+PERF+kujibu	ye have answered	mmejibu
NEG+2s+PRES+kugombana	you do not argue	hugombani
NEG+1p+PRES+kutambua	we do not realize	hatutambui
2s+PERF+kuruka	you have jumped	umeruka
2s+IMP+kupenda	love	penda
NEG+3s+PRES+kuambia	(s)he does not tell	haambii
NEG+3s+PRES+kuanguka	(s)he does not fall	haanguki
NEG+1p+FUT+kuandika	we will not write	hatutaandika
1s+PERF+kuzoea	I have been used to	nimezoea
NEG+3s+FUT+kuja	(s)he will not come	hatakuja
NEG+1s+PERF+kuvunja	I have not broken	sijavunja
NEG+3s+PRES+kuingia	(s)he does not enter	haingii
1p+PERF+kupita	we have passed	tumepita
NEG+1p+FUT+kuuliza	we will not ask	hatutauliza
NEG+1s+PERF+kuacha	I have not left	sijaacha
2p+PERF+kupendeza	ye have looked great	mmependeza
2p+IMP+kutazama	watch	tazameni
3s+PAST+kuamini	(s)he believed	aliamini
NEG+3s+FUT+kukubali	(s)he will not agree	hatakubali
NEG+2p+PRES+kuangalia	ye do not look	hamangalii
NEG+1p+PERF+kuelewa	we have not understood	hatujaelewa
1s+PAST+kuamua	I decided	niliamua
1s+PRES+kuumwa	I am sick	ninaumwa
2p+PERF+kutafuta	ye have looked for	mmetafuta
NEG+3s+PRES+kustarehe	(s)he does not relax	hastarehe
1p+FUT+kuuma	we will bite	tutauma
NEG+2p+PAST+kutambua	ye did not realize	hamkutambua
NEG+3p+PERF+kuingia	they have not entered	hawajaingia
2p+PRES+kuchoka	ye tire	mnachoka
NEG+2s+PRES+kuondoka	you do not depart	huondoki
1s+PAST+kusali	I prayed	nilisali
3p+PERF+kupa	they have given	wamekupa
1p+FUT+kutosha	we will suffice	tutatosha
NEG+3s+FUT+kujifunza	(s)he will not learn	hatajifunza
NEG+2p+FUT+kuamini	ye will not believe	hamtaamini
1p+FUT+kuruka	we will jump	tutaruka
1s+PRES+kusumbuka	I worry	ninasumbuka
NEG+3p+PRES+kupendeza	they do not look great	hawapendezi
NEG+2p+PERF+kuonyesha	ye have not shown	hamjaonyesha
2p+FUT+kutambua	ye will realize	mtatambua
NEG+1s+PERF+kukodisha	I have not rented	sijakodisha
3p+PERF+kupendelea	they have preferred	wamependelea
NEG+1p+PRES+kulala	we do not sleep	hatulali
NEG+2p+PERF+kuuma	ye have not bitten	hamjauma
3p+FUT+kuvaa	they will wear	watavaa
3s+PRES+kupata	(s)he gets	anapata
NEG+1s+PRES+kuandika	I do not write	siandiki
NEG+1s+PAST+kucheza	I did not play	sikucheza
3p+PAST+kugawana	they shared	waligawana
1p+FUT+kufurahi	we will be happy	tutafurahi
3p+PRES+kurekebisha	they repair	wanarekebisha
3p+PRES+kutumia	they use	wanatumia
2p+FUT+kuwasha	ye will turn on	mtawasha
NEG+1p+PERF+kuisha	we have not ended	hatujaisha
3p+FUT+kukulia	they will grow up	watakulia
2s+IMP+kufa	die	kufa
2s+FUT+kuiba	you will steal	utaiba
NEG+2s+FUT+kuumwa	you will not be sick	hutaumwa
2p+IMP+kucheza	play	chezeni
2p+PERF+kuitwa	ye have been named	mmeitwa
NEG+1s+PRES+kutazama	I do not watch	sitazami
NEG+3s+PRES+kusaidia	(s)he does not help	hasaidii
NEG+1p+PERF+kuogelea	we have not swum	hatujaogelea
2s+PAST+kuhisi	you felt	ulihisi
NEG+2p+FUT+kuchagua	ye will not choose	hamtachagua
2p+PAST+kuamini	ye believed	mliamini
NEG+1s+PERF+kuonja	I have not tasted	sijaonja
NEG+1s+PERF+kuhisi	I have not felt	sijahisi
NEG+3p+PAST+kuandika	they did not write	hawakuandika
NEG+1p+PAST+kugawana	we did not share	hatukugawana
NEG+3p+PERF+kutoka	they have not come from	hawajatoka
1p+PAST+kuosha	we washed	tuliosha
1p+FUT+kupendeza	we will look great	tutapendeza
3s+PRES+kufaa	(s)he is suitable	anafaa
2s+PRES+kumaliza	you finish	unamaliza
2p+PRES+kushtuka	ye are shocked	mnashtuka
3p+PRES+kupunguza	they reduce	wanapunguza
3p+PRES+kuelewa	they understand	wanaelewa
1s+PRES+kuwasha	I turn on	ninawasha
NEG+2p+PAST+kutuma	ye did not send	hamkutuma
NEG+2p+PERF+kupendelea	ye have not preferred	hamjapendelea
3p+PERF+kukodishwa	they have rented	wamekodishwa
1s+FUT+kumaanisha	I will mean	nitamaanisha
NEG+3s+PRES+kujibu	(s)he does not answer	hajibu
3p+PERF+kutuma	they have sent	wametuma
NEG+2p+FUT+kulia	ye will not cry	hamtalia
NEG+1s+PRES+kujitahidi	I do not improve	sijitahidi
NEG+3p+PAST+kupendelea	they did not prefer	hawakupendelea
3p+FUT+kuzoea	they will be used to	watazoea
NEG+1s+PRES+kushtuka	I am not shocked	sishtuki
NEG+3s+FUT+kuangalia	(s)he will not look	hataangalia
NEG+1s+FUT+kupeleka	I will not take	sitapeleka
2s+PERF+kusubiri	you have waited	umesubiri
NEG+2s+PAST+kuanda	you did not prepare	hukuanda
NEG+3p+PERF+kunywa	they have not drunk	hawajanywa
NEG+2p+PRES+kuzima	ye do not turn off	hamzimi
